age,gender,city,income,spending_score,membership_years,recommend
21,Male,Bangalore,33861,4,4.5,No
42,Male,Chennai,116837,42,1.2,No
31,Male,Hyderabad,133779,13,3.1,Yes
26,Male,Mumbai,108302,98,9.8,No
43,Male,Bangalore,121710,85,6.2,Yes
19,Female,Bangalore,83928,86,7.2,Yes
37,Male,Bangalore,126643,4,0.6,No
45,Male,Mumbai,135720,82,5.4,No
64,Male,Bangalore,103231,69,0.9,Yes
24,Female,Mumbai,61347,19,5.9,Yes
61,Female,Bangalore,23121,2,9.2,No
25,Female,Chennai,103793,12,9.7,Yes
64,Female,Chennai,48164,81,5.6,Yes
52,Male,Mumbai,45491,74,4.9,Yes
31,Male,Chennai,79222,98,9.5,Yes
34,Female,Mumbai,43165,6,6.9,No
53,Female,Chennai,134250,8,1.1,No
57,Male,Chennai,23748,51,4.9,Yes
21,Male,Mumbai,118581,11,2.8,No
19,Female,Hyderabad,46553,63,5.0,Yes
23,Female,Chennai,136547,57,4.8,Yes
59,Female,Bangalore,80380,12,6.0,Yes
21,Female,Hyderabad,64331,73,3.9,Yes
46,Male,Mumbai,116033,2,2.1,No
35,Male,Hyderabad,116844,8,5.3,Yes
43,Male,Delhi,140617,11,8.4,Yes
61,Female,Delhi,59560,53,6.8,Yes
51,Female,Chennai,73865,10,3.7,Yes
27,Male,Chennai,66686,85,9.4,Yes
53,Male,Bangalore,95910,84,9.2,Yes
31,Male,Hyderabad,24675,8,2.5,No
48,Male,Delhi,86706,36,0.9,No
32,Female,Chennai,126985,93,7.5,Yes
25,Male,Hyderabad,129021,76,8.4,Yes
31,Male,Chennai,144062,14,9.7,Yes
40,Male,Chennai,147359,54,9.0,Yes
57,Male,Delhi,97986,85,6.2,Yes
38,Male,Delhi,96216,86,5.5,Yes
33,Male,Chennai,30068,21,0.8,No
62,Male,Mumbai,74460,50,2.8,No
35,Female,Chennai,120766,94,4.9,Yes
64,Female,Chennai,66418,39,6.5,Yes
41,Female,Bangalore,46206,20,5.8,No
43,Female,Bangalore,148180,88,7.6,Yes
42,Male,Bangalore,20287,87,3.2,Yes
62,Female,Mumbai,42337,7,5.9,No
58,Female,Mumbai,40666,9,1.3,No
46,Male,Chennai,136595,1,4.4,Yes
32,Male,Bangalore,21161,26,7.6,No
62,Female,Mumbai,134817,38,7.1,Yes
18,Female,Delhi,141025,38,9.9,Yes
42,Male,Chennai,120667,61,3.1,Yes
24,Female,Hyderabad,110071,44,5.2,Yes
26,Male,Chennai,118064,86,3.6,Yes
41,Male,Hyderabad,58751,44,4.7,No
18,Male,Bangalore,102063,74,8.6,Yes
61,Male,Hyderabad,126511,62,7.0,Yes
25,Female,Bangalore,109389,6,8.9,Yes
41,Male,Delhi,34758,17,2.4,No
28,Male,Hyderabad,85780,51,8.8,Yes
34,Female,Chennai,135614,38,1.1,No
25,Male,Bangalore,23178,24,8.9,No
52,Female,Chennai,51831,51,3.6,No
52,Female,Mumbai,22176,10,3.5,No
50,Female,Bangalore,123306,72,5.4,Yes
22,Male,Hyderabad,53654,21,9.4,No
59,Female,Bangalore,143220,70,1.0,Yes
56,Female,Chennai,46627,85,3.8,Yes
58,Male,Delhi,72550,57,8.6,Yes
45,Female,Bangalore,132025,39,4.3,Yes
24,Female,Hyderabad,64910,88,2.4,Yes
26,Female,Mumbai,110417,33,4.5,No
25,Female,Delhi,78251,59,4.2,Yes
29,Female,Mumbai,55422,18,9.2,No
51,Male,Bangalore,31984,56,7.7,Yes
50,Female,Chennai,109312,92,5.3,Yes
40,Female,Chennai,81386,57,9.9,Yes
41,Male,Hyderabad,103291,96,4.9,Yes
54,Male,Chennai,27135,76,1.1,No
52,Male,Delhi,20320,48,3.0,Yes
61,Female,Chennai,122958,42,4.6,Yes
57,Male,Hyderabad,114171,27,2.0,No
39,Female,Bangalore,41684,74,9.5,Yes
44,Female,Bangalore,75913,52,7.8,Yes
52,Male,Chennai,108774,42,3.0,No
18,Male,Mumbai,41889,32,6.1,No
52,Female,Bangalore,115849,26,7.4,Yes
54,Male,Chennai,118071,25,9.4,Yes
64,Female,Hyderabad,68899,75,8.9,Yes
31,Male,Chennai,144011,23,5.4,Yes
20,Male,Bangalore,30770,98,7.9,Yes
18,Male,Hyderabad,59321,57,5.8,Yes
22,Female,Chennai,105962,52,5.8,Yes
43,Male,Delhi,129863,87,1.6,No
31,Female,Hyderabad,61777,93,1.7,Yes
56,Female,Delhi,66250,31,5.5,Yes
44,Female,Mumbai,93034,64,3.1,Yes
26,Female,Hyderabad,124940,71,0.7,Yes
32,Male,Delhi,60130,33,7.4,Yes
32,Female,Bangalore,101931,85,0.8,Yes
43,Female,Bangalore,69346,2,6.2,Yes
59,Male,Mumbai,22537,18,5.6,No
30,Female,Hyderabad,104762,47,9.7,Yes
49,Male,Hyderabad,35216,33,5.1,No
56,Female,Hyderabad,104149,98,1.1,Yes
49,Male,Mumbai,23009,84,5.7,Yes
21,Female,Hyderabad,109904,35,8.5,Yes
47,Male,Bangalore,49327,51,10.0,Yes
54,Female,Delhi,34209,18,4.6,No
40,Female,Bangalore,68443,88,3.5,Yes
56,Male,Bangalore,35029,72,9.1,Yes
62,Male,Delhi,87613,30,2.3,No
32,Male,Bangalore,99443,44,6.3,Yes
60,Male,Mumbai,76997,53,4.4,Yes
46,Female,Delhi,122171,10,0.9,No
53,Female,Bangalore,134456,87,3.8,Yes
30,Male,Chennai,82559,52,3.0,Yes
49,Female,Bangalore,84892,49,7.0,Yes
24,Male,Mumbai,90409,11,9.5,Yes
39,Male,Hyderabad,28635,66,3.0,No
45,Female,Bangalore,53065,58,8.2,Yes
19,Female,Hyderabad,131399,90,1.0,Yes
59,Female,Chennai,140544,36,5.6,Yes
62,Female,Bangalore,127340,33,1.2,No
23,Female,Delhi,53783,47,9.4,No
45,Female,Hyderabad,54152,13,7.8,Yes
45,Female,Chennai,78741,40,6.8,Yes
61,Male,Delhi,127049,89,8.3,Yes
61,Male,Delhi,71502,68,6.7,Yes
37,Male,Delhi,49092,42,9.7,No
47,Male,Delhi,37653,19,7.3,No
28,Male,Bangalore,117999,82,9.3,Yes
45,Female,Bangalore,119564,94,5.4,Yes
42,Male,Bangalore,60469,19,1.6,No
56,Male,Chennai,143064,58,5.5,Yes
50,Male,Chennai,106483,23,1.7,No
18,Male,Chennai,141585,54,6.1,No
44,Male,Mumbai,79754,80,5.1,Yes
30,Male,Chennai,49978,65,6.4,Yes
58,Male,Bangalore,107592,12,0.6,No
20,Female,Bangalore,114543,24,2.4,No
56,Female,Mumbai,63169,34,5.2,Yes
23,Male,Mumbai,68287,53,9.5,Yes
25,Female,Chennai,74745,8,4.1,Yes
44,Female,Hyderabad,130168,18,4.5,Yes
26,Female,Mumbai,133985,57,7.3,Yes
54,Female,Delhi,140843,5,6.2,Yes
50,Male,Bangalore,25543,26,3.3,No
59,Female,Delhi,76392,30,4.4,Yes
61,Female,Bangalore,41067,54,2.6,No
41,Female,Bangalore,71033,13,9.7,Yes
32,Male,Mumbai,65256,83,1.7,Yes
49,Male,Mumbai,110633,29,4.0,Yes
49,Male,Delhi,128383,3,0.7,No
41,Male,Bangalore,129048,90,2.6,Yes
58,Male,Delhi,89345,58,7.9,Yes
29,Male,Hyderabad,42191,76,2.4,No
56,Male,Delhi,106803,2,1.3,No
19,Female,Chennai,92742,75,5.0,Yes
20,Female,Delhi,138843,28,0.6,No
54,Female,Chennai,106593,82,1.3,Yes
34,Male,Chennai,48992,77,8.2,Yes
19,Male,Chennai,132050,86,7.8,No
19,Male,Hyderabad,101531,76,9.2,Yes
45,Male,Delhi,68803,2,8.6,Yes
40,Male,Delhi,129975,7,7.0,Yes
54,Female,Hyderabad,83477,26,1.0,No
49,Female,Bangalore,33210,90,7.9,Yes
50,Male,Mumbai,103329,88,8.5,Yes
18,Male,Delhi,46270,76,8.1,Yes
36,Male,Mumbai,82008,16,5.3,Yes
19,Male,Hyderabad,25197,23,2.7,No
61,Female,Bangalore,133857,40,8.5,Yes
43,Male,Bangalore,27452,60,7.4,Yes
49,Male,Bangalore,61486,73,9.8,Yes
23,Male,Hyderabad,34859,32,2.0,No
49,Male,Chennai,47236,15,2.6,No
21,Female,Chennai,51899,13,2.5,No
28,Male,Mumbai,52083,5,8.0,No
34,Male,Chennai,87708,75,2.3,Yes
55,Female,Chennai,131462,74,1.1,Yes
41,Female,Bangalore,36663,52,10.0,No
22,Female,Bangalore,113076,77,0.7,Yes
51,Male,Mumbai,138665,41,8.4,Yes
23,Male,Delhi,39053,53,4.0,Yes
39,Female,Mumbai,31085,50,8.5,No
28,Female,Mumbai,50564,15,5.8,No
33,Female,Hyderabad,109745,7,9.1,No
50,Female,Hyderabad,79095,40,9.3,Yes
26,Female,Mumbai,89517,28,0.6,No
23,Female,Mumbai,41153,32,1.2,No
33,Male,Mumbai,25247,99,2.9,No
46,Male,Chennai,30553,15,6.9,No
20,Male,Hyderabad,40811,85,8.9,Yes
37,Female,Mumbai,115381,70,4.9,Yes
53,Female,Bangalore,26135,65,6.3,Yes
36,Female,Bangalore,25573,4,2.3,No
43,Female,Chennai,138819,11,8.1,Yes
20,Female,Chennai,144588,26,9.7,Yes
36,Female,Delhi,99267,61,3.1,Yes
37,Male,Delhi,27189,37,5.2,No
49,Male,Delhi,100077,23,1.3,No
24,Female,Chennai,63646,93,5.8,Yes
58,Male,Chennai,96623,85,5.3,Yes
50,Female,Chennai,131971,91,1.9,Yes
57,Male,Bangalore,73687,40,4.7,Yes
56,Female,Chennai,88312,77,3.7,Yes
35,Female,Bangalore,127615,23,5.5,Yes
57,Male,Delhi,47564,16,6.1,No
18,Male,Delhi,48835,94,0.6,No
28,Female,Delhi,81587,61,7.7,Yes
45,Female,Mumbai,27697,68,7.3,Yes
42,Male,Mumbai,100165,80,4.0,Yes
40,Male,Hyderabad,93922,31,1.0,No
48,Female,Hyderabad,37046,53,7.7,Yes
47,Male,Hyderabad,77823,25,9.6,Yes
59,Female,Mumbai,93580,44,2.8,No
52,Female,Mumbai,73370,12,3.6,Yes
24,Female,Hyderabad,29615,90,2.2,No
33,Female,Hyderabad,133338,97,6.0,Yes
43,Male,Chennai,25060,92,2.0,No
19,Male,Hyderabad,96436,9,3.9,Yes
18,Male,Chennai,80519,12,7.1,Yes
29,Male,Bangalore,140562,69,5.8,Yes
22,Male,Mumbai,91117,54,4.2,Yes
54,Male,Hyderabad,81158,54,4.5,Yes
49,Male,Mumbai,54782,28,5.8,No
26,Female,Mumbai,105709,56,0.6,Yes
58,Male,Mumbai,98533,99,1.2,Yes
52,Male,Bangalore,128939,69,8.9,Yes
36,Female,Delhi,78255,98,1.2,Yes
33,Male,Hyderabad,131952,98,7.2,Yes
20,Male,Delhi,92684,77,9.2,Yes
37,Female,Delhi,76918,58,3.1,Yes
41,Male,Delhi,146093,78,4.0,Yes
50,Male,Mumbai,104284,75,5.9,Yes
41,Male,Chennai,99558,42,8.9,Yes
28,Female,Mumbai,105549,38,9.4,Yes
25,Male,Mumbai,124223,68,7.5,Yes
53,Male,Delhi,101422,53,1.3,Yes
55,Female,Mumbai,140363,33,6.9,Yes
57,Male,Delhi,146352,71,4.4,Yes
37,Female,Chennai,45256,56,5.0,Yes
52,Female,Hyderabad,50005,72,1.0,No
42,Male,Delhi,26638,51,2.3,No
52,Female,Chennai,57419,74,8.0,Yes
42,Female,Hyderabad,53377,43,4.8,No
46,Male,Bangalore,126244,15,3.4,No
35,Female,Delhi,63116,38,4.1,Yes
63,Female,Delhi,56634,15,8.6,No
35,Male,Bangalore,102291,5,7.6,Yes
19,Male,Bangalore,43382,93,3.1,Yes
52,Male,Delhi,135303,83,1.6,Yes
33,Female,Bangalore,76063,54,2.9,Yes
58,Male,Mumbai,42394,51,9.2,Yes
53,Female,Hyderabad,87789,10,6.0,Yes
50,Female,Hyderabad,123246,12,5.6,Yes
21,Female,Hyderabad,130634,4,6.2,Yes
50,Female,Mumbai,20864,95,4.0,Yes
31,Female,Bangalore,119572,18,8.2,Yes
38,Female,Chennai,60222,80,5.5,Yes
37,Female,Bangalore,33666,36,1.6,No
25,Male,Delhi,143664,25,1.7,No
24,Male,Hyderabad,40955,87,5.6,Yes
20,Female,Bangalore,130674,76,9.4,Yes
34,Female,Chennai,123533,98,3.4,Yes
50,Male,Delhi,101845,36,8.8,Yes
29,Female,Mumbai,136925,67,7.8,Yes
39,Male,Mumbai,89590,9,2.9,No
39,Male,Chennai,147775,61,0.8,Yes
63,Male,Delhi,86471,53,1.5,Yes
47,Female,Hyderabad,130476,18,7.4,Yes
55,Female,Bangalore,108314,43,2.4,No
55,Male,Delhi,142579,35,4.0,Yes
62,Male,Mumbai,63298,63,5.3,No
25,Male,Chennai,83108,98,7.4,Yes
44,Male,Chennai,133864,78,1.6,Yes
44,Male,Bangalore,68924,4,4.4,Yes
51,Female,Chennai,36709,93,5.1,Yes
38,Male,Chennai,29726,41,5.6,No
47,Female,Delhi,80824,45,8.3,No
50,Male,Hyderabad,60542,50,2.1,No
45,Female,Bangalore,40245,79,8.2,Yes
64,Female,Delhi,54753,28,7.1,No
50,Female,Hyderabad,99788,42,5.8,Yes
22,Female,Delhi,41316,80,7.1,Yes
36,Female,Delhi,122907,76,4.4,Yes
21,Female,Chennai,104698,69,1.8,Yes
52,Male,Hyderabad,35960,98,6.8,No
34,Female,Bangalore,50791,1,5.5,No
61,Male,Bangalore,127766,39,6.6,Yes
45,Female,Hyderabad,45216,96,3.7,Yes
47,Female,Chennai,52467,90,9.1,Yes
46,Male,Mumbai,84427,17,6.1,Yes
63,Female,Delhi,132470,91,1.3,Yes
23,Male,Chennai,82047,88,4.8,Yes
52,Male,Hyderabad,93290,35,7.7,Yes
58,Male,Delhi,67014,46,8.0,Yes
54,Male,Bangalore,24078,42,5.2,No
41,Female,Mumbai,98389,39,9.0,Yes
46,Female,Bangalore,70519,90,3.0,Yes
63,Male,Hyderabad,24042,49,4.4,No
48,Female,Delhi,69052,62,9.0,Yes
52,Female,Hyderabad,34389,38,9.0,No
50,Male,Delhi,115961,23,7.0,Yes
38,Female,Chennai,88111,22,8.7,Yes
49,Male,Mumbai,125058,4,1.3,No
40,Male,Chennai,113715,49,8.7,Yes
50,Female,Chennai,70733,59,3.5,Yes
20,Female,Hyderabad,54754,73,2.2,No
35,Female,Mumbai,38624,68,2.8,No
42,Male,Delhi,105886,71,4.5,Yes
59,Male,Delhi,46681,87,2.9,No
48,Female,Bangalore,109524,2,3.5,Yes
20,Female,Delhi,101006,49,1.8,No
57,Female,Hyderabad,44704,88,3.3,Yes
63,Female,Chennai,124272,95,5.9,Yes
41,Male,Chennai,114913,31,4.7,Yes
49,Female,Chennai,114108,40,3.8,No
64,Male,Mumbai,143731,48,7.6,Yes
39,Male,Delhi,27493,51,9.0,Yes
40,Female,Hyderabad,89639,43,7.7,Yes
19,Female,Mumbai,120380,98,3.7,Yes
44,Female,Bangalore,74383,55,7.6,Yes
59,Male,Hyderabad,22994,88,1.9,No
19,Female,Hyderabad,89280,49,1.7,No
43,Female,Hyderabad,67234,90,3.8,Yes
34,Male,Chennai,67291,80,8.2,Yes
57,Female,Hyderabad,148674,57,2.8,Yes
50,Male,Delhi,112868,77,1.1,Yes
26,Female,Hyderabad,25594,15,1.8,No
60,Male,Chennai,125835,27,8.7,Yes
56,Female,Hyderabad,27371,68,6.5,Yes
46,Female,Bangalore,67315,80,2.9,Yes
59,Male,Bangalore,103564,64,5.8,Yes
43,Male,Chennai,147251,94,5.5,Yes
52,Female,Delhi,121448,30,6.7,No
42,Male,Delhi,99526,36,2.7,No
41,Male,Mumbai,132387,67,8.7,Yes
30,Male,Chennai,36626,86,3.4,Yes
24,Male,Hyderabad,106005,86,7.1,Yes
53,Female,Chennai,126258,49,0.7,No
62,Female,Mumbai,125573,76,4.0,Yes
37,Male,Chennai,27130,55,3.8,Yes
18,Male,Chennai,26828,85,5.7,Yes
25,Male,Mumbai,77514,56,1.2,Yes
63,Male,Delhi,127148,68,8.0,Yes
33,Female,Hyderabad,132524,95,2.6,Yes
31,Female,Mumbai,124635,44,6.9,Yes
29,Male,Bangalore,72664,31,8.1,No
40,Male,Delhi,131701,58,5.8,Yes
32,Male,Bangalore,37883,87,7.5,Yes
45,Female,Delhi,63059,53,6.8,Yes
51,Male,Hyderabad,104078,84,3.9,Yes
19,Female,Hyderabad,62932,79,8.2,Yes
49,Male,Chennai,149900,23,3.3,Yes
40,Female,Bangalore,81269,28,5.9,Yes
39,Male,Delhi,139850,16,7.6,Yes
42,Female,Hyderabad,95986,37,4.1,Yes
39,Male,Mumbai,105959,21,3.4,Yes
39,Male,Hyderabad,22035,79,4.9,Yes
59,Male,Mumbai,129767,17,8.3,Yes
23,Female,Delhi,60745,37,9.3,Yes
32,Male,Hyderabad,37241,77,5.7,Yes
60,Female,Hyderabad,72975,19,6.8,Yes
54,Female,Delhi,43154,30,9.1,No
50,Male,Hyderabad,45625,45,1.4,No
25,Male,Mumbai,64950,18,2.7,No
61,Male,Hyderabad,118602,78,7.2,Yes
61,Female,Bangalore,76396,62,8.3,Yes
22,Male,Chennai,119227,36,8.6,Yes
56,Female,Mumbai,138920,84,4.4,Yes
21,Female,Bangalore,33331,52,1.3,No
23,Male,Delhi,83927,19,4.7,Yes
62,Male,Mumbai,106226,44,2.7,No
49,Male,Chennai,104719,7,3.3,Yes
47,Male,Chennai,83014,44,7.8,Yes
64,Male,Delhi,59346,68,1.2,No
52,Male,Delhi,90411,34,8.4,Yes
57,Female,Mumbai,74478,66,4.6,Yes
33,Female,Hyderabad,32254,69,6.2,Yes
30,Female,Delhi,75734,55,1.4,Yes
59,Male,Hyderabad,48621,10,3.7,No
47,Female,Bangalore,136490,96,1.4,Yes
36,Female,Chennai,96441,42,9.6,Yes
34,Female,Hyderabad,66121,41,8.2,Yes
36,Female,Chennai,147386,77,4.9,Yes
45,Female,Hyderabad,101418,69,2.6,Yes
43,Male,Bangalore,80197,10,9.4,Yes
54,Male,Delhi,104577,10,3.8,Yes
43,Female,Bangalore,114634,91,2.0,Yes
40,Female,Delhi,138034,60,5.9,Yes
26,Female,Delhi,62431,51,9.5,Yes
29,Male,Chennai,137637,21,0.5,No
18,Male,Bangalore,119245,8,2.8,No
18,Female,Hyderabad,120211,65,9.4,Yes
64,Male,Bangalore,24837,92,2.1,No
51,Male,Chennai,131984,78,1.6,Yes
49,Female,Delhi,110025,85,5.9,Yes
42,Male,Chennai,103163,30,8.7,Yes
57,Male,Mumbai,91232,85,5.0,Yes
62,Female,Mumbai,68994,49,9.9,Yes
18,Male,Hyderabad,99079,9,7.0,Yes
33,Male,Chennai,32615,17,1.2,No
56,Female,Hyderabad,21466,69,9.9,Yes
22,Male,Hyderabad,50771,58,4.4,Yes
39,Male,Mumbai,138645,57,3.2,Yes
46,Female,Hyderabad,103886,62,5.8,Yes
20,Female,Mumbai,85911,95,3.4,Yes
29,Female,Delhi,118566,52,1.3,Yes
43,Male,Chennai,40746,61,0.5,No
33,Female,Hyderabad,108422,40,4.8,Yes
54,Male,Mumbai,129884,38,8.5,Yes
39,Female,Bangalore,80739,43,5.9,Yes
46,Male,Hyderabad,128440,63,10.0,Yes
31,Female,Delhi,118187,19,3.2,Yes
45,Female,Delhi,93369,50,3.2,No
22,Female,Bangalore,21893,33,2.0,No
64,Female,Mumbai,50573,13,2.1,No
47,Male,Hyderabad,116907,78,3.2,Yes
63,Female,Mumbai,60874,97,8.0,Yes
22,Female,Delhi,97362,62,9.1,Yes
29,Male,Mumbai,119956,93,9.8,Yes
33,Female,Delhi,107460,43,2.7,No
43,Male,Mumbai,147021,49,8.9,Yes
43,Female,Bangalore,138580,36,3.6,Yes
38,Female,Chennai,53367,10,1.6,No
56,Female,Bangalore,41199,95,8.8,Yes
53,Male,Bangalore,136600,6,6.5,Yes
50,Female,Chennai,111404,57,2.1,Yes
47,Female,Chennai,94328,1,4.6,Yes
54,Female,Hyderabad,77724,71,3.2,Yes
40,Male,Hyderabad,106133,58,7.5,Yes
27,Male,Bangalore,56405,91,4.8,Yes
22,Female,Bangalore,118232,21,9.9,Yes
53,Male,Delhi,128659,92,1.0,Yes
51,Female,Delhi,35989,80,3.9,Yes
48,Female,Hyderabad,48931,56,5.1,Yes
27,Female,Hyderabad,29290,87,5.3,Yes
36,Female,Delhi,58367,20,3.5,No
49,Female,Delhi,141136,54,7.4,Yes
18,Female,Mumbai,99878,25,8.8,Yes
22,Female,Mumbai,110477,28,9.4,Yes
62,Male,Delhi,99481,5,8.1,Yes
21,Male,Mumbai,96298,21,8.6,Yes
33,Male,Chennai,146299,18,5.7,Yes
41,Male,Hyderabad,50133,47,8.3,No
33,Male,Hyderabad,132616,70,3.4,Yes
19,Male,Delhi,125686,57,4.3,Yes
45,Male,Bangalore,47052,93,3.5,Yes
49,Female,Delhi,127286,19,4.9,Yes
44,Female,Mumbai,105489,97,3.2,Yes
37,Female,Bangalore,60475,65,9.6,Yes
41,Female,Mumbai,102666,3,3.5,Yes
29,Male,Chennai,116622,42,1.4,No
52,Male,Mumbai,77656,21,5.5,Yes
50,Female,Chennai,24633,99,1.0,No
50,Female,Chennai,37304,40,1.6,No
60,Male,Mumbai,127573,67,2.6,Yes
54,Female,Mumbai,117820,25,4.9,Yes
29,Female,Chennai,66546,55,4.6,Yes
20,Female,Bangalore,27008,84,8.1,Yes
18,Female,Chennai,68291,52,7.5,Yes
50,Male,Hyderabad,47405,44,4.6,No
57,Female,Chennai,137069,98,3.7,No
27,Female,Bangalore,56386,85,3.5,Yes
60,Male,Hyderabad,110909,56,7.9,Yes
61,Male,Delhi,40827,55,1.0,No
46,Female,Delhi,53040,87,0.6,No
30,Male,Bangalore,80354,70,8.1,Yes
29,Female,Chennai,98543,77,5.0,Yes
48,Female,Mumbai,38157,87,1.7,No
63,Male,Bangalore,117693,73,2.7,Yes
19,Female,Hyderabad,55315,81,9.4,Yes
52,Female,Hyderabad,55932,66,8.7,Yes
40,Female,Delhi,41164,19,7.2,No
34,Female,Hyderabad,34414,83,5.1,Yes
43,Male,Bangalore,147597,7,5.4,Yes
25,Male,Hyderabad,34327,63,9.8,Yes
46,Female,Bangalore,133880,42,9.7,Yes
43,Male,Mumbai,20946,42,2.5,No
27,Female,Delhi,34693,59,8.2,Yes
43,Female,Hyderabad,47241,20,2.4,No
51,Female,Bangalore,135194,73,2.5,Yes
58,Female,Chennai,115790,17,6.9,Yes
24,Female,Delhi,35540,27,4.3,No
21,Male,Mumbai,92255,47,9.3,Yes
62,Female,Bangalore,84757,2,1.3,No
28,Male,Mumbai,61203,63,5.4,Yes
46,Male,Mumbai,45081,62,9.2,Yes
53,Female,Hyderabad,81861,19,9.1,Yes
42,Female,Hyderabad,31350,17,2.0,Yes
38,Female,Bangalore,75512,69,4.0,Yes
53,Female,Chennai,76809,39,6.4,Yes
27,Female,Bangalore,121894,82,2.0,Yes
54,Male,Chennai,117557,71,9.7,No
26,Female,Mumbai,62832,81,9.2,Yes
41,Female,Delhi,48369,39,2.1,No
52,Male,Bangalore,51728,36,1.7,No
52,Male,Bangalore,37576,40,1.3,No
53,Female,Chennai,49001,45,9.1,Yes
35,Male,Mumbai,147625,4,2.3,No
56,Female,Mumbai,103384,25,4.5,Yes
49,Male,Chennai,20390,69,4.8,Yes
41,Male,Mumbai,107535,30,6.2,Yes
40,Female,Hyderabad,65436,76,1.2,No
49,Male,Delhi,31569,68,2.7,No
54,Male,Bangalore,33029,88,9.3,Yes
29,Male,Delhi,42490,29,9.1,Yes
30,Male,Bangalore,65875,73,7.9,Yes
40,Male,Hyderabad,143552,68,0.7,Yes
42,Male,Mumbai,120864,51,3.6,Yes
52,Female,Chennai,25867,24,6.5,No
58,Female,Hyderabad,100820,14,3.1,Yes
47,Male,Delhi,119515,69,9.1,Yes
34,Female,Chennai,29121,18,6.5,No
37,Female,Mumbai,21539,42,1.2,No
42,Female,Hyderabad,111024,57,9.1,Yes
39,Male,Chennai,37027,83,9.6,Yes
30,Female,Hyderabad,147402,12,1.2,No
36,Male,Hyderabad,94229,82,5.6,No
53,Female,Mumbai,28921,17,3.4,No
29,Male,Bangalore,70435,30,4.2,Yes
58,Male,Chennai,142368,88,2.2,Yes
36,Female,Mumbai,30310,75,6.0,Yes
29,Female,Hyderabad,83965,99,9.6,Yes
26,Male,Mumbai,142033,23,5.3,Yes
24,Female,Bangalore,131048,81,1.3,Yes
45,Female,Chennai,116444,1,6.4,Yes
31,Female,Bangalore,89922,79,3.7,No
48,Male,Delhi,117799,32,8.6,Yes
36,Male,Chennai,113948,9,4.6,Yes
64,Female,Bangalore,102839,15,2.3,No
33,Female,Hyderabad,32242,28,2.3,No
22,Female,Chennai,137027,24,7.8,Yes
52,Male,Chennai,132561,60,3.0,Yes
29,Male,Mumbai,28947,35,7.8,No
42,Female,Hyderabad,132250,86,2.5,Yes
38,Female,Delhi,91466,27,3.6,No
53,Female,Bangalore,123706,83,4.9,Yes
40,Female,Mumbai,140351,76,9.5,Yes
33,Female,Bangalore,144749,20,9.4,Yes
56,Female,Delhi,81816,65,2.5,Yes
62,Male,Delhi,68785,85,3.9,Yes
59,Female,Chennai,139963,49,1.9,No
56,Male,Delhi,20507,1,5.3,No
31,Female,Bangalore,86972,10,4.9,Yes
48,Female,Hyderabad,47151,47,9.1,No
22,Male,Hyderabad,31618,59,9.3,Yes
52,Male,Chennai,94286,96,4.1,Yes
40,Male,Bangalore,36122,62,5.2,No
46,Male,Bangalore,27354,86,9.0,Yes
60,Female,Delhi,129598,18,8.2,Yes
28,Male,Bangalore,50979,46,0.5,No
35,Female,Mumbai,106436,32,3.5,Yes
64,Male,Delhi,99376,27,4.5,Yes
29,Female,Mumbai,72774,92,2.7,Yes
26,Female,Chennai,122703,18,2.4,No
